Date,Open,High,Low,Close,Adj Close,Volume
2007-01-03,61.180000,61.900002,60.049999,60.360001,60.360001,6142500
2007-01-04,60.230000,60.570000,59.790001,59.919998,59.919998,5671200
2007-01-05,59.650002,59.869999,58.900002,59.130001,59.130001,6768100
2007-01-08,59.029999,59.759998,58.349998,59.689999,59.689999,5000200
2007-01-09,59.900002,59.950001,59.000000,59.310001,59.310001,4968000
2007-01-10,59.240002,59.369999,58.709999,59.270000,59.270000,4366800
2007-01-11,59.250000,59.570000,59.060001,59.450001,59.450001,4204900
2007-01-12,59.349998,59.410000,58.759998,59.009998,59.009998,5002900
2007-01-16,58.849998,59.180000,58.680000,59.130001,59.130001,5354200
2007-01-17,59.160000,59.500000,59.000000,59.220001,59.220001,4898000
2007-01-18,58.500000,59.430000,58.500000,59.000000,59.000000,4606500
2007-01-19,59.230000,59.230000,58.040001,58.090000,58.090000,8192600
2007-01-22,58.299999,58.630001,57.139999,58.060001,58.060001,13231600
2007-01-23,58.000000,58.150002,57.150002,57.540001,57.540001,6572200
2007-01-24,57.700001,58.930000,57.650002,58.930000,58.930000,5485000
2007-01-25,58.779999,58.930000,57.689999,57.770000,57.770000,5103700
2007-01-26,57.810001,58.049999,57.450001,57.849998,57.849998,5477000
2007-01-29,57.750000,57.959999,57.500000,57.639999,57.639999,4714500
2007-01-30,57.680000,58.029999,57.650002,58.009998,58.009998,5177500
2007-01-31,58.020000,58.450001,57.750000,58.220001,58.220001,6323300
2007-02-01,58.299999,58.669998,57.910000,58.070000,58.070000,4115900
2007-02-02,58.299999,58.500000,58.000000,58.160000,58.160000,5033400
2007-02-05,58.169998,58.480000,57.910000,58.200001,58.200001,3220000
2007-02-06,58.400002,58.500000,57.590000,58.060001,58.060001,4491800
2007-02-07,58.230000,58.849998,58.060001,58.680000,58.680000,4487000
2007-02-08,58.680000,58.680000,58.060001,58.490002,58.490002,2913600
2007-02-09,58.650002,58.970001,57.310001,57.529999,57.529999,4704900
2007-02-12,57.689999,57.689999,56.209999,57.000000,57.000000,12378600
2007-02-13,57.230000,57.779999,56.820000,57.599998,57.599998,4978500
2007-02-14,57.599998,59.049999,57.349998,58.689999,58.689999,7739100
2007-02-15,58.520000,59.119999,58.520000,58.849998,58.849998,7609300
2007-02-16,59.000000,59.150002,58.540001,59.020000,59.020000,4927900
2007-02-20,58.750000,59.009998,58.080002,58.709999,58.709999,4483200
2007-02-21,58.259998,58.799999,58.250000,58.529999,58.529999,2681100
2007-02-22,58.419998,58.770000,57.939999,58.150002,58.150002,3855300
2007-02-23,58.000000,58.299999,57.770000,58.020000,58.020000,3574500
2007-02-26,58.020000,58.480000,57.099998,57.139999,57.139999,4242800
2007-02-27,57.000000,57.029999,54.500000,55.590000,55.590000,11075600
2007-02-28,56.029999,57.459999,56.000000,56.869999,56.869999,11590300
2007-03-01,56.200001,57.000000,55.150002,56.549999,56.549999,8759700
2007-03-02,56.099998,56.450001,55.330002,55.439999,55.439999,7281000
2007-03-05,55.430000,55.970001,54.900002,54.900002,54.900002,6482000
2007-03-06,55.349998,56.459999,55.209999,56.369999,56.369999,8311300
2007-03-07,56.119999,56.270000,55.330002,55.860001,55.860001,5464100
2007-03-08,56.340000,57.000000,56.119999,56.820000,56.820000,5424500
2007-03-09,57.070000,57.349998,56.549999,56.900002,56.900002,3819800
2007-03-12,56.110001,56.959999,55.639999,56.709999,56.709999,3702300
2007-03-13,56.299999,56.599998,54.709999,54.750000,54.750000,7980300
2007-03-14,54.250000,56.139999,53.910000,55.709999,55.709999,10665600
2007-03-15,55.580002,56.240002,55.500000,56.110001,56.110001,8899200
2007-03-16,56.400002,56.560001,54.950001,55.549999,55.549999,7966600
2007-03-19,56.259998,56.299999,55.610001,56.040001,56.040001,6295000
2007-03-20,56.040001,56.410000,55.919998,56.259998,56.259998,3857400
2007-03-21,56.270000,57.750000,55.660000,57.490002,57.490002,7200000
2007-03-22,57.400002,57.599998,56.840000,57.439999,57.439999,5326400
2007-03-23,57.580002,57.910000,57.270000,57.430000,57.430000,3505600
2007-03-26,57.400002,57.570000,56.689999,57.200001,57.200001,3708800
2007-03-27,56.950001,57.049999,56.380001,56.430000,56.430000,5419500
2007-03-28,56.299999,56.360001,55.610001,55.860001,55.860001,7592800
2007-03-29,56.650002,56.680000,55.840000,56.459999,56.459999,4588000
2007-03-30,56.650002,56.939999,55.730000,56.400002,56.400002,4139100
2007-04-02,56.400002,56.689999,55.340000,55.860001,55.860001,6908100
2007-04-03,55.799999,56.459999,55.720001,55.919998,55.919998,7564200
2007-04-04,56.000000,56.480000,55.990002,56.310001,56.310001,3598600
2007-04-05,56.080002,56.180000,55.730000,55.959999,55.959999,4643600
2007-04-09,56.020000,56.459999,55.669998,56.360001,56.360001,3592500
2007-04-10,56.200001,56.799999,56.099998,56.410000,56.410000,4464600
2007-04-11,56.320000,56.799999,55.990002,56.049999,56.049999,4512500
2007-04-12,56.090000,56.580002,55.549999,56.509998,56.509998,5295000
2007-04-13,57.000000,57.500000,56.610001,57.360001,57.360001,7326000
2007-04-16,57.480000,58.720001,57.470001,58.560001,58.560001,6472300
2007-04-17,58.500000,58.500000,57.869999,58.240002,58.240002,5115700
2007-04-18,58.299999,58.529999,58.040001,58.439999,58.439999,8383700
2007-04-19,58.500000,59.099998,57.889999,58.950001,58.950001,7119400
2007-04-20,60.529999,61.160000,59.700001,61.000000,61.000000,14273800
2007-04-23,61.500000,61.740002,60.700001,61.150002,61.150002,7559400
2007-04-24,61.150002,61.310001,60.549999,60.910000,60.910000,8077200
