Date,Open,High,Low,Close,Adj Close,Volume
2007-01-03,46.248814,47.264957,45.517570,49.040001,46.571701,6100500
2007-01-04,46.543209,46.571701,45.925926,48.700001,46.248814,4178800
2007-01-05,45.679012,46.191833,45.403610,48.049999,45.631531,4283800
2007-01-08,45.508072,45.773979,45.185184,48.070000,45.650524,3331400
2007-01-09,46.153847,46.847103,45.346630,48.379997,45.944920,3609300
2007-01-10,45.754986,45.982906,45.470085,48.259998,45.830959,2882700
2007-01-11,46.020893,46.543209,45.906933,48.919998,46.457741,2844600
2007-01-12,46.267807,47.340931,46.220322,49.730000,47.226971,5322100
2007-01-16,47.378918,48.224121,47.331432,50.509998,47.967712,8354200
2007-01-17,47.720798,48.433048,47.625832,50.719997,48.167141,6046100
2007-01-18,48.328587,48.385567,47.682812,50.399998,47.863247,4514500
2007-01-19,48.091167,48.414055,47.920227,50.840000,48.281101,4555500
2007-01-22,47.853752,48.290600,47.056030,50.099998,47.578346,5282900
2007-01-23,46.381767,47.207977,45.906933,49.669998,47.169991,10437200
2007-01-24,47.169991,47.891739,47.008549,50.279999,47.749287,5888700
2007-01-25,48.053181,48.167141,47.018044,49.659996,47.160492,4916800
2007-01-26,47.160492,47.160492,46.163342,49.189999,46.714149,6349400
2007-01-29,46.714149,46.875595,46.248814,48.959999,46.495728,4713500
2007-01-30,46.495728,46.543209,45.792973,48.379997,45.944920,6101600
2007-01-31,46.096867,47.321938,46.020893,49.560001,47.065529,6529700
2007-02-01,47.388412,48.347580,47.378918,50.579998,48.034187,7712500
2007-02-02,48.034187,48.224121,47.521366,50.250000,47.720798,5489900
2007-02-05,47.568851,47.882240,47.492878,50.099998,47.578346,4226300
2007-02-06,47.492878,48.309593,47.483379,50.610001,48.062679,5053400
2007-02-07,48.195633,48.793922,47.825260,51.010002,48.442547,5607600
2007-02-08,48.252613,48.784424,48.100666,51.139999,48.566002,4377300
2007-02-09,48.528015,49.050331,48.385567,51.070000,48.499527,3882800
2007-02-12,48.528015,48.907883,48.319088,51.099998,48.528015,5796600
2007-02-13,48.376068,48.831909,48.176640,51.329998,48.746437,5191000
2007-02-14,48.812916,49.278252,48.746437,51.789997,49.183285,4308500
2007-02-15,49.401711,49.544159,49.012344,51.769997,49.164291,4067000
