Date,Open,High,Low,Close,Adj Close,Volume
2007-01-03,61.889999,62.990002,61.720001,62.430000,62.430000,2721300
2007-01-04,62.430000,62.580002,61.720001,61.880001,61.880001,2156800
2007-01-05,61.599998,61.639999,60.119999,60.389999,60.389999,2959100
2007-01-08,60.290001,60.779999,60.049999,60.240002,60.240002,1741600
2007-01-09,61.000000,61.000000,59.840000,60.240002,60.240002,2648200
2007-01-10,61.020000,61.189999,60.150002,60.770000,60.770000,2940400
2007-01-11,60.880001,61.139999,60.279999,60.560001,60.560001,2056100
2007-01-12,60.360001,60.680000,59.160000,59.650002,59.650002,3324600
2007-01-16,59.950001,60.020000,59.560001,59.689999,59.689999,2256600
2007-01-17,59.599998,60.029999,59.430000,59.849998,59.849998,2723400
2007-01-18,60.730000,60.730000,59.400002,59.950001,59.950001,2395400
2007-01-19,59.990002,60.259998,59.820000,60.259998,60.259998,1828500
2007-01-22,60.099998,60.349998,59.869999,59.959999,59.959999,2337500
2007-01-23,59.529999,60.500000,59.290001,60.230000,60.230000,2785900
2007-01-24,59.700001,60.470001,59.599998,60.070000,60.070000,1835400
2007-01-25,60.160000,60.410000,59.049999,59.049999,59.049999,3657700
2007-01-26,58.950001,59.369999,58.740002,59.180000,59.180000,2804900
2007-01-29,59.029999,59.470001,58.849998,59.380001,59.380001,2759800
2007-01-30,59.400002,59.810001,59.160000,59.310001,59.310001,2172400
2007-01-31,59.299999,60.139999,59.099998,59.990002,59.990002,2203500
2007-02-01,60.849998,61.160000,59.930000,61.029999,61.029999,2690900
2007-02-02,60.889999,60.930000,60.349998,60.750000,60.750000,3664400
2007-02-05,60.869999,62.130001,60.480000,62.110001,62.110001,3735900
2007-02-06,62.730000,63.520000,62.299999,63.360001,63.360001,3899000
2007-02-07,63.139999,63.400002,62.610001,63.250000,63.250000,2163000
2007-02-08,62.830002,63.660000,62.830002,63.509998,63.509998,1834300
2007-02-09,63.630001,64.279999,63.470001,64.059998,64.059998,2948000
2007-02-12,64.059998,64.099998,63.619999,63.709999,63.709999,2808700
