Date,Open,High,Low,Close,Adj Close,Volume
2007-01-03,75.050003,75.570000,73.870003,73.949997,73.949997,1785300
2007-01-04,74.129997,74.610001,73.589996,74.419998,74.419998,1357700
2007-01-05,74.400002,74.760002,74.029999,74.589996,74.589996,1497300
2007-01-08,76.099998,78.029999,75.849998,78.000000,78.000000,2984300
2007-01-09,78.000000,78.800003,77.750000,78.309998,78.309998,2729600
2007-01-10,78.150002,79.500000,77.879997,79.290001,79.290001,1589900
2007-01-11,79.300003,80.709999,79.290001,80.510002,80.510002,2029900
2007-01-12,80.199997,80.589996,79.500000,80.089996,80.089996,1721100
2007-01-16,80.089996,80.949997,79.599998,79.660004,79.660004,2737200
2007-01-17,79.690002,80.099998,79.620003,80.070000,80.070000,1336700
2007-01-18,80.900002,80.900002,78.750000,78.860001,78.860001,1756700
2007-01-19,79.150002,80.230003,78.849998,79.529999,79.529999,1601200
2007-01-22,79.400002,79.559998,78.400002,78.760002,78.760002,1792600
2007-01-23,78.769997,81.279999,78.769997,80.889999,80.889999,2425900
2007-01-24,78.760002,79.989998,77.610001,79.849998,79.849998,5444600
2007-01-25,79.500000,79.949997,77.699997,77.750000,77.750000,1980200
2007-01-26,77.519997,78.089996,76.809998,78.050003,78.050003,1927700
2007-01-29,78.050003,78.050003,76.989998,77.169998,77.169998,1150800
2007-01-30,77.169998,77.500000,76.769997,77.029999,77.029999,1141100
2007-01-31,76.699997,78.500000,76.639999,78.150002,78.150002,1219400
2007-02-01,78.010002,79.209999,77.769997,79.089996,79.089996,1622500
2007-02-02,79.529999,79.739998,78.489998,78.669998,78.669998,1224900
2007-02-05,78.900002,79.510002,78.370003,79.070000,79.070000,1231100
2007-02-06,79.449997,79.760002,78.980003,79.570000,79.570000,991100
2007-02-07,79.400002,79.529999,79.050003,79.440002,79.440002,626300
2007-02-08,79.489998,79.489998,78.760002,79.239998,79.239998,781800
2007-02-09,79.150002,79.800003,79.080002,79.559998,79.559998,1086000
2007-02-12,78.900002,79.209999,78.500000,78.779999,78.779999,1456500
2007-02-13,79.000000,80.480003,78.760002,79.809998,79.809998,2291700
2007-02-14,79.900002,80.110001,79.510002,79.629997,79.629997,1100000
2007-02-15,79.699997,79.980003,79.059998,79.489998,79.489998,1192100
2007-02-16,79.099998,79.480003,78.760002,79.250000,79.250000,1901500
2007-02-20,79.269997,80.389999,78.699997,79.290001,79.290001,5415600
2007-02-21,78.800003,79.449997,78.500000,78.720001,78.720001,1695800
2007-02-22,78.900002,79.199997,78.449997,79.180000,79.180000,1263000
2007-02-23,78.750000,79.099998,78.010002,79.050003,79.050003,1194900
2007-02-26,79.129997,79.680000,77.760002,78.089996,78.089996,903000
2007-02-27,77.750000,77.750000,74.250000,75.330002,75.330002,2381100
2007-02-28,75.209999,76.910004,74.809998,76.379997,76.379997,2551700
2007-03-01,75.000000,76.830002,74.430000,76.410004,76.410004,1866500
2007-03-02,75.599998,76.440002,75.290001,75.459999,75.459999,1605500
