Date,Open,High,Low,Close,Adj Close,Volume
2007-01-03,232.129913,237.440018,229.694046,466.309753,232.921951,15470700
2007-01-04,233.624313,241.071411,233.300537,481.936859,240.727692,15834200
2007-01-05,240.349106,242.839783,238.162308,485.856079,242.685349,13795600
2007-01-08,242.934418,244.020355,240.199677,482.256012,240.887100,9544400
2007-01-09,241.818604,243.213379,239.701538,484.170715,241.843506,10803000
2007-01-10,241.310516,245.853485,240.119965,488.119873,243.816116,11981700
2007-01-11,247.671661,249.938171,247.163574,498.351776,248.926956,14470400
2007-01-12,250.057724,251.557098,249.066437,503.617340,251.557098,8980800
2007-01-16,252.827347,255.542160,250.710281,502.899292,251.198441,15194500
2007-01-17,250.755112,252.936935,246.266937,495.918488,247.711517,13448300
2007-01-18,246.336670,247.313004,242.804901,486.494354,243.004166,11908400
2007-01-19,243.078888,244.463684,242.461197,488.409088,243.960571,9993800
2007-01-22,245.330444,245.405167,238.356583,479.523499,239.522217,10849100
2007-01-23,239.497299,241.469910,237.753845,477.738403,238.630554,9365900
2007-01-24,241.320465,248.837296,240.742630,497.703583,248.603180,12164000
2007-01-25,249.564575,251.308029,241.923218,486.753662,243.133682,12784700
2007-01-26,244.548370,248.020355,242.605652,494.482422,246.994202,11034100
2007-01-29,248.070175,248.443771,244.334183,491.121643,245.315491,9587100
2007-01-30,246.077637,248.070175,244.692825,492.966583,246.237045,8392200
2007-01-31,247.317993,251.557098,246.829819,500.126953,249.813644,24503600
2007-02-01,252.055237,252.060211,239.865921,480.431000,239.975510,31434700
2007-02-02,240.403900,241.594452,238.012863,480.181702,239.850983,12620000
2007-02-05,237.858444,238.107513,232.224564,465.880920,232.707748,14467800
2007-02-06,233.175995,235.766296,232.757568,470.189117,234.859695,10683600
2007-02-07,236.025314,236.289337,233.514725,468.723114,234.127426,8270400
2007-02-08,233.151093,235.990448,231.706512,469.740356,234.635529,8183900
2007-02-09,234.944366,235.457443,229.888321,460.625366,230.082596,9753600
2007-02-12,229.479858,230.331665,226.660416,457.035248,228.289322,11552100
2007-02-13,228.717712,230.525925,227.776245,457.843018,228.692810,8155600
2007-02-14,229.141129,233.689072,228.752579,464.654297,232.095047,11440200
2007-02-15,232.129913,232.194672,229.499771,460.206543,229.873383,8115000
2007-02-16,230.535889,234.197174,230.167282,468.653320,234.092560,12400200
2007-02-20,233.360306,235.492310,231.487335,470.807434,235.168533,8165600
2007-02-21,234.042755,238.446243,232.996674,474.557098,237.041504,11323400
2007-02-22,238.451233,241.215866,236.309250,474.547150,237.036530,11530700
2007-02-23,236.986710,237.584473,233.026566,469.331451,234.431290,7794200
2007-02-26,235.532166,236.737656,231.009125,463.657074,231.596924,7969500
2007-02-27,226.650452,229.041489,222.750076,447.541290,223.547089,18695300
2007-02-28,224.364029,225.987946,220.692795,448.219421,223.885818,16124700
2007-03-01,220.508484,225.365280,219.178467,447.002747,223.278091,17435400
2007-03-02,221.723923,223.512222,218.520935,437.478943,218.520935,13216400
2007-03-05,217.694031,221.918198,217.684067,439.742706,219.651688,12757800
2007-03-06,222.899521,228.642990,222.854691,456.297272,227.920700,15123800
2007-03-07,230.481094,230.705261,226.296783,454.392487,226.969269,13117100
2007-03-08,228.752579,231.880859,226.202133,453.475006,226.510986,10765700
2007-03-09,228.144852,228.344116,224.209610,451.719818,225.634262,9992600
2007-03-12,225.440002,226.774994,224.712723,453.504913,226.525925,6956700
2007-03-13,224.214584,225.121185,220.588181,441.817017,220.687805,12802300
2007-03-14,220.787430,223.492294,218.680328,446.773407,223.163528,16093800
2007-03-15,223.093796,224.070129,221.141113,444.968353,222.261902,7917800
2007-03-16,221.992920,222.515961,219.123672,439.643005,219.601883,11360600
2007-03-19,220.797394,223.412598,219.492294,446.005524,222.779968,10434200
2007-03-20,222.062653,222.964279,220.971741,444.060852,221.808609,6868600
2007-03-21,221.818573,227.432526,221.773743,455.299988,227.422562,11639900
2007-03-22,226.954315,230.222076,225.420074,460.774963,230.157318,11403900
2007-03-23,229.863419,230.829788,227.686569,460.565521,230.052704,8253300
2007-03-26,229.415100,231.631790,226.959305,463.726868,231.631790,9455800
2007-03-27,230.909500,231.746353,229.310486,462.350647,230.944366,7510300
2007-03-28,230.072632,231.850967,229.215836,460.615387,230.077606,9217500
2007-03-29,231.407623,232.129913,226.650452,459.658051,229.599411,8006800
2007-03-30,230.187195,230.834778,227.218323,456.905609,228.224564,6785600
2007-04-02,228.025299,228.408875,225.215836,457.274597,228.408875,6922700
2007-04-03,231.158554,236.239517,231.133652,471.306061,235.417603,13052300
2007-04-04,235.188461,235.616852,233.913239,469.730377,234.630554,7585800
2007-04-05,234.770020,235.163544,233.933167,470.219025,234.874634,5451900
2007-04-09,235.606888,235.616852,231.925690,466.928070,233.230789,6147100
2007-04-10,232.672882,234.515976,231.711487,465.222748,232.378983,5980800
2007-04-11,232.159805,233.823578,230.441254,463.258148,231.397659,7652500
2007-04-12,231.133652,233.126190,230.256943,466.110321,232.822327,5436000
2007-04-13,233.350342,233.509750,230.814850,465.013336,232.274384,5610400
2007-04-16,233.355331,237.604401,233.200912,472.971497,236.249481,10193800
2007-04-17,236.015350,237.305527,234.919464,471.505524,235.517227,6444200
2007-04-18,234.750092,239.053970,233.888336,474.706696,237.116226,11383400
2007-04-19,236.364044,240.075134,233.918213,470.358643,234.944366,22101700
2007-04-20,244.344131,245.330444,240.110016,481.159027,240.339157,24414100
2007-04-23,239.153595,241.594452,238.237030,477.768311,238.645493,11391600
2007-04-24,238.411377,239.093811,236.887085,476.222565,237.873398,7417000
2007-04-25,239.103775,239.786224,237.166046,476.681305,238.102539,7963300
2007-04-26,238.157333,241.320465,237.664169,479.862549,239.691574,8280600
2007-04-27,239.138657,240.299301,238.271896,477.698486,238.610626,5873200
2007-04-30,238.680374,239.776260,234.809875,470.089386,234.809875,7309600
2007-05-01,235.213364,235.522202,231.218338,467.715912,233.624313,7343800
2007-05-02,233.449966,234.660431,231.995422,464.504700,232.020325,6148300
2007-05-03,232.239502,236.149857,231.776245,471.934326,235.731415,7215200
2007-05-04,234.182220,236.533417,232.070145,469.830109,234.680359,7929500
2007-05-07,235.188461,235.527191,232.364044,465.990631,232.762543,6062700
2007-05-08,232.194672,233.210861,231.497284,465.531891,232.533401,5831900
2007-05-09,232.204636,234.984222,231.073883,467.965240,233.748856,7808800
2007-05-10,232.647980,233.868408,229.649216,460.206543,229.873383,7400100
2007-05-11,230.052704,232.628052,229.639252,465.462097,232.498535,5910100
2007-05-14,231.870895,232.882095,229.141129,460.515686,230.027802,7774300
2007-05-15,230.117462,230.406387,227.850952,456.746002,228.144852,8268800
2007-05-16,230.137390,235.686584,228.652954,471.316010,235.422577,13157500
2007-05-17,235.347855,236.722702,234.525940,469.670563,234.600662,9356100
2007-05-18,235.133667,235.467407,233.997925,469.032318,234.281860,7419400
2007-05-21,233.888336,238.705276,232.488571,469.311523,234.421326,12364700
2007-05-22,235.616852,238.610626,235.616852,474.557098,237.041504,7706700
2007-05-23,239.512253,240.802414,235.990448,472.672302,236.100037,10158300
2007-05-24,236.687836,238.705276,234.869644,473.031342,236.279373,8378400
2007-05-25,238.954346,241.569534,237.743881,482.196167,240.857208,10736900
2007-05-29,241.594452,244.981750,241.096313,485.776337,242.645508,10475000
2007-05-30,241.345383,248.488602,240.598175,497.234863,248.369049,14545800
2007-05-31,249.345398,253.440048,247.601929,496.546753,248.025345,17915400
2007-06-01,249.564575,251.567062,248.035309,499.029938,249.265686,9633800
2007-06-04,248.025345,254.301819,247.865936,505.681671,252.588242,14255200
2007-06-05,253.923233,258.530975,252.359100,517.419434,258.451263,20972400
2007-06-06,257.410156,259.417633,256.667938,516.831055,258.157349,15832400
2007-06-07,258.904572,262.266968,255.298080,513.649841,256.568329,21340600
2007-06-08,257.136200,258.849762,253.778778,514.078613,256.782501,12764000
2007-06-11,256.050262,258.157349,254.047760,509.940002,254.715271,9330100
2007-06-12,253.405182,254.879654,250.645523,503.387970,251.442535,12887000
2007-06-13,252.598206,253.320496,248.413879,503.856689,251.676651,14120600
2007-06-14,251.746399,251.995453,249.913269,501.463257,250.481140,9277000
2007-06-15,253.146149,253.549637,249.679138,504.504913,252.000443,12394400
2007-06-18,252.144897,257.036560,251.178528,513.789429,256.638062,9707900
2007-06-19,256.045288,257.659241,254.814896,512.901855,256.194733,8743200
2007-06-20,257.514771,258.406433,253.579529,508.573730,254.032822,8708800
2007-06-21,254.535934,256.682892,252.194717,512.702393,256.095093,8852400
2007-06-22,257.245789,261.514771,257.086365,523.542664,261.509796,14461300
2007-06-25,263.502319,266.496094,260.712799,525.975952,262.725250,15909300
2007-06-26,265.370331,265.604462,262.137451,528.808228,264.139954,11421500
2007-06-27,261.519745,263.009186,258.809906,524.849060,262.162354,12292000
2007-06-28,261.459991,263.761353,260.921997,523.572571,261.524750,8368000
2007-06-29,262.027863,262.715271,258.760101,521.268860,260.374054,7790200
2007-07-02,261.763855,264.931976,261.121246,528.927856,264.199707,7001200
2007-07-03,264.538452,266.202209,262.765106,532.877014,266.172333,3757500
2007-07-05,266.780029,271.183533,265.081421,540.147034,269.803711,9922700
2007-07-06,269.614410,270.919525,268.359131,537.923157,268.692871,5514400
2007-07-09,270.486145,273.345428,269.121277,541.074524,270.266968,7487500
2007-07-10,270.879669,272.478668,269.813660,541.852356,270.655518,7740800
2007-07-11,270.790009,272.229614,268.996735,542.979309,271.218414,6643300
2007-07-12,271.910797,272.638092,269.101349,543.836914,271.646790,6908900
2007-07-13,272.931976,275.303101,272.603210,550.648193,275.049042,10513300
