Date,Open,High,Low,Close,Adj Close,Volume
2007-01-03,24.180000,24.440001,24.139999,48.580002,24.290001,15753400
2007-01-04,24.209999,24.350000,24.125000,48.599998,24.299999,11810400
2007-01-05,24.250000,24.285000,24.084999,48.259998,24.129999,11607000
2007-01-08,24.004999,24.334999,24.004999,48.570000,24.285000,17551000
2007-01-09,24.270000,24.415001,24.230000,48.610001,24.305000,13724000
2007-01-10,24.245001,24.395000,24.184999,48.680000,24.340000,8928000
2007-01-11,24.375000,24.434999,24.299999,48.740002,24.370001,11009600
2007-01-12,24.299999,24.334999,24.125000,48.549999,24.275000,13667200
2007-01-16,24.240000,24.344999,24.170000,48.500000,24.250000,12685200
2007-01-17,24.264999,24.430000,24.240000,48.599998,24.299999,14400200
2007-01-18,24.209999,24.500000,24.100000,48.349998,24.174999,15223000
2007-01-19,24.205000,24.215000,24.035000,48.259998,24.129999,13008200
2007-01-22,24.055000,24.174999,23.995001,48.029999,24.014999,12198800
2007-01-23,24.075001,24.115000,23.969999,48.119999,24.059999,12149000
2007-01-24,24.094999,24.100000,23.969999,48.130001,24.065001,8641600
2007-01-25,24.035000,24.110001,23.950001,47.939999,23.969999,11596600
2007-01-26,24.000000,24.049999,23.900000,47.830002,23.915001,14459000
2007-01-29,23.879999,23.959999,23.780001,47.709999,23.855000,10077800
2007-01-30,23.915001,23.975000,23.820000,47.810001,23.905001,8986000
2007-01-31,23.900000,23.985001,23.745001,47.880001,23.940001,10604400
2007-02-01,23.995001,24.135000,23.924999,48.099998,24.049999,10398600
2007-02-02,24.049999,24.205000,24.020000,48.240002,24.120001,10703600
2007-02-05,24.055000,24.120001,23.920000,47.900002,23.950001,9192800
2007-02-06,24.000000,24.080000,23.930000,48.049999,24.025000,11168800
2007-02-07,24.014999,24.065001,23.930000,48.029999,24.014999,9242400
2007-02-08,23.975000,24.025000,23.825001,47.860001,23.930000,9076600
2007-02-09,23.860001,23.995001,23.820000,47.759998,23.879999,9828400
2007-02-12,23.924999,24.184999,23.900000,47.919998,23.959999,13925400
2007-02-13,24.049999,24.209999,24.045000,48.209999,24.105000,19411800
2007-02-14,24.250000,24.275000,23.865000,47.880001,23.940001,32846800
2007-02-15,23.995001,24.049999,23.790001,47.849998,23.924999,19195000
2007-02-16,24.000000,24.049999,23.879999,47.869999,23.934999,17492200
2007-02-20,23.760000,23.940001,23.750000,47.779999,23.889999,17828800
2007-02-21,23.775000,23.889999,23.760000,47.570000,23.785000,16489600
2007-02-22,23.844999,23.870001,23.610001,47.299999,23.650000,16721000
2007-02-23,23.834999,23.965000,23.590000,47.259998,23.629999,29516200
2007-02-26,23.850000,23.950001,23.790001,47.720001,23.860001,18709000
2007-02-27,23.735001,23.920000,22.780001,46.389999,23.195000,30318600
2007-02-28,23.375000,23.450001,23.160000,46.680000,23.340000,27629200
2007-03-01,23.209999,23.465000,23.135000,46.520000,23.260000,27342000
2007-03-02,23.225000,23.465000,22.905001,45.889999,22.945000,34050600
2007-03-05,22.950001,23.355000,22.885000,46.290001,23.145000,29572400
2007-03-06,23.344999,23.530001,23.275000,46.930000,23.465000,25097800
2007-03-07,23.379999,23.500000,23.330000,46.750000,23.375000,26321800
2007-03-08,23.450001,23.680000,23.445000,47.150002,23.575001,17422400
2007-03-09,23.615000,23.834999,23.575001,47.570000,23.785000,26127200
2007-03-12,23.785000,23.995001,23.735001,47.950001,23.975000,26009000
2007-03-13,23.674999,23.934999,23.480000,47.060001,23.530001,32198000
2007-03-14,23.625000,23.670000,23.295000,47.040001,23.520000,32553400
2007-03-15,23.475000,23.565001,23.340000,47.080002,23.540001,19059000
2007-03-16,23.625000,23.655001,23.410000,47.209999,23.605000,28231600
2007-03-19,23.670000,23.750000,23.520000,47.330002,23.665001,15513600
2007-03-20,23.709999,23.875000,23.620001,47.619999,23.809999,14456000
2007-03-21,23.850000,24.174999,23.684999,48.259998,24.129999,24361000
2007-03-22,23.955000,24.219999,23.955000,48.250000,24.125000,16486800
2007-03-23,24.065001,24.135000,23.985001,48.049999,24.025000,16012200
2007-03-26,23.975000,24.094999,23.840000,48.150002,24.075001,14385200
2007-03-27,24.000000,24.084999,23.924999,48.020000,24.010000,13230600
2007-03-28,23.895000,24.150000,23.795000,47.910000,23.955000,22657800
2007-03-29,23.805000,24.200001,23.424999,48.110001,24.055000,18947800
2007-03-30,24.129999,24.250000,23.799999,48.000000,24.000000,17937600
2007-04-02,24.100000,24.330000,24.025000,48.520000,24.260000,22443400
2007-04-03,24.264999,24.575001,24.264999,48.990002,24.495001,19033200
2007-04-04,24.504999,24.820000,24.469999,49.459999,24.730000,22203000
2007-04-05,24.670000,24.885000,24.650000,49.520000,24.760000,17959200
2007-04-09,24.799999,24.975000,24.715000,49.630001,24.815001,14632800
2007-04-10,24.889999,25.155001,24.825001,50.080002,25.040001,26317400
2007-04-11,25.040001,25.100000,24.799999,49.639999,24.820000,24374000
2007-04-12,24.825001,24.975000,24.325001,49.669998,24.834999,15512400
2007-04-13,25.145000,25.145000,24.745001,49.880001,24.940001,13829600
2007-04-16,25.004999,25.219999,24.965000,50.270000,25.135000,20130200
2007-04-17,25.525000,26.090000,25.379999,51.570000,25.785000,50341600
2007-04-18,25.795000,25.870001,25.674999,51.660000,25.830000,22955600
2007-04-19,25.680000,25.950001,25.655001,51.750000,25.875000,18696200
2007-04-20,26.025000,26.075001,25.809999,52.090000,26.045000,21201000
2007-04-23,26.045000,26.100000,25.795000,51.650002,25.825001,14465800
2007-04-24,25.990000,25.990000,25.684999,51.709999,25.855000,16117400
2007-04-25,25.995001,26.030001,25.745001,51.740002,25.870001,21349800
2007-04-26,25.995001,26.115000,25.924999,52.080002,26.040001,15173600
2007-04-27,25.924999,26.059999,25.875000,52.060001,26.030001,13926200
2007-04-30,25.959999,26.174999,25.924999,52.189999,26.094999,23486000
2007-05-01,26.094999,26.320000,26.065001,52.630001,26.315001,20552200
2007-05-02,26.299999,26.465000,26.250000,52.709999,26.355000,17473000
2007-05-03,26.400000,26.500000,26.295000,52.910000,26.455000,16194400
2007-05-04,26.500000,26.660000,26.475000,53.209999,26.605000,18067000
2007-05-07,26.605000,26.825001,26.575001,53.610001,26.805000,14151800
2007-05-08,26.680000,26.760000,26.459999,53.070000,26.535000,15197400
2007-05-09,26.545000,26.700001,26.424999,53.110001,26.555000,11234400
2007-05-10,26.475000,26.520000,26.215000,52.480000,26.240000,14908400
2007-05-11,26.225000,26.365000,26.084999,52.689999,26.344999,12985200
2007-05-14,26.270000,26.480000,26.250000,52.599998,26.299999,13295800
2007-05-15,26.150000,26.395000,26.080000,52.459999,26.230000,31652800
2007-05-16,26.250000,26.395000,26.065001,52.740002,26.370001,16792200
2007-05-17,26.490000,26.495001,26.049999,52.200001,26.100000,18808400
2007-05-18,26.180000,26.325001,26.045000,52.630001,26.315001,25827200
2007-05-21,26.315001,26.410000,25.875000,51.910000,25.955000,26409400
2007-05-22,25.975000,25.985001,25.709999,51.480000,25.740000,19057200
2007-05-23,25.820000,25.885000,25.620001,51.330002,25.665001,15167600
2007-05-24,25.635000,25.875000,25.575001,51.240002,25.620001,17765600
2007-05-25,25.780001,26.090000,25.745001,51.889999,25.945000,18502400
2007-05-29,26.014999,26.174999,25.955000,52.180000,26.090000,16716400
2007-05-30,26.184999,26.525000,25.959999,53.049999,26.525000,29334600
2007-05-31,26.480000,26.730000,26.440001,52.990002,26.495001,21255400
2007-06-01,26.504999,26.565001,26.215000,52.799999,26.400000,17018400
2007-06-04,26.379999,26.400000,26.105000,52.669998,26.334999,20438800
2007-06-05,26.235001,26.325001,26.049999,52.320000,26.160000,19282600
2007-06-06,26.125000,26.160000,25.920000,52.000000,26.000000,11280800
2007-06-07,25.995001,26.040001,25.629999,51.380001,25.690001,18724600
2007-06-08,25.625000,25.860001,25.514999,51.669998,25.834999,13315200
2007-06-11,25.834999,25.924999,25.660000,51.630001,25.815001,21803400
2007-06-12,25.670000,25.885000,25.530001,51.139999,25.570000,22790200
2007-06-13,25.584999,25.750000,25.530001,51.360001,25.680000,20020800
2007-06-14,25.680000,25.844999,25.535000,51.310001,25.655001,17990600
2007-06-15,25.795000,26.070000,25.680000,51.580002,25.790001,26360400
2007-06-18,25.790001,26.004999,25.764999,51.759998,25.879999,11100800
2007-06-19,25.790001,25.840000,25.555000,51.389999,25.695000,21341400
2007-06-20,25.770000,26.040001,25.660000,51.490002,25.745001,19981600
2007-06-21,25.700001,26.075001,25.680000,52.090000,26.045000,18870400
2007-06-22,26.025000,26.129999,25.719999,51.619999,25.809999,30157400
2007-06-25,25.834999,26.020000,25.750000,51.770000,25.885000,21450600
2007-06-26,25.950001,26.170000,25.809999,51.950001,25.975000,22278800
2007-06-27,25.875000,26.260000,25.875000,52.439999,26.219999,18175600
2007-06-28,26.160000,26.459999,26.110001,52.630001,26.315001,16126400
2007-06-29,26.420000,26.475000,25.975000,52.310001,26.155001,19029200
2007-07-02,26.325001,26.495001,26.160000,52.560001,26.280001,18294600
2007-07-03,26.405001,26.490000,26.250000,52.900002,26.450001,8382800
2007-07-05,26.450001,26.500000,26.240000,52.669998,26.334999,10865400
2007-07-06,26.275000,26.325001,26.150000,52.599998,26.299999,12349600
2007-07-09,26.365000,26.500000,26.285000,52.700001,26.350000,19237800
2007-07-10,26.469999,26.469999,26.035000,52.099998,26.049999,14505200
2007-07-11,26.004999,26.135000,25.900000,52.090000,26.045000,12185400
2007-07-12,26.075001,26.325001,26.025000,52.630001,26.315001,23446200
2007-07-13,26.315001,26.629999,26.245001,53.110001,26.555000,16634800
2007-07-16,26.700001,27.245001,26.680000,53.849998,26.924999,33549400
2007-07-17,27.165001,27.190001,26.405001,53.169998,26.584999,33030000
2007-07-18,26.655001,26.790001,26.535000,53.430000,26.715000,28491200
2007-07-19,26.950001,26.969999,26.715000,53.700001,26.850000,14462400
2007-07-20,26.870001,26.950001,26.545000,53.209999,26.605000,22396600
2007-07-23,26.665001,26.875000,26.575001,53.639999,26.820000,14063800
2007-07-24,26.485001,26.900000,26.480000,53.220001,26.610001,18704400
2007-07-25,26.735001,27.100000,26.590000,54.049999,27.025000,25611600
2007-07-26,26.575001,27.110001,26.280001,52.980000,26.490000,29326200
2007-07-27,26.459999,26.545000,26.110001,52.279999,26.139999,24074400
2007-07-30,26.530001,26.924999,25.895000,52.389999,26.195000,19912000
2007-07-31,26.370001,26.434999,26.020000,52.110001,26.055000,19887000
2007-08-01,26.180000,26.740000,26.090000,53.270000,26.635000,24743400
2007-08-02,26.580000,26.900000,26.580000,53.660000,26.830000,19595400
2007-08-03,26.910000,27.125000,26.620001,53.279999,26.639999,22044200
2007-08-06,26.575001,27.125000,26.575001,54.230000,27.115000,23334800
2007-08-07,26.975000,27.395000,26.855000,54.459999,27.230000,22657200
2007-08-08,27.195000,27.940001,27.190001,55.860001,27.930000,25070400
2007-08-09,27.405001,28.355000,27.405001,55.849998,27.924999,34244000
2007-08-10,27.700001,28.065001,27.049999,54.980000,27.490000,29816800
2007-08-13,27.495001,27.549999,27.105000,54.520000,27.260000,19106400
2007-08-14,27.389999,27.424999,26.900000,54.139999,27.070000,26200600
2007-08-15,27.080000,27.334999,26.805000,53.830002,26.915001,14280600
2007-08-16,26.750000,27.145000,26.415001,53.580002,26.790001,29002000
2007-08-17,27.465000,28.424999,26.580000,54.450001,27.225000,28468600
2007-08-20,27.190001,27.440001,27.075001,54.520000,27.260000,15993800
2007-08-21,27.200001,27.424999,26.990000,54.029999,27.014999,16781600
2007-08-22,27.184999,27.250000,26.889999,53.950001,26.975000,15279400
2007-08-23,26.940001,27.084999,26.809999,53.980000,26.990000,13930000
2007-08-24,26.825001,27.365000,26.825001,54.000000,27.000000,13493400
2007-08-27,26.990000,27.075001,26.850000,54.009998,27.004999,9995800
2007-08-28,27.000000,27.000000,26.590000,53.259998,26.629999,15706000
2007-08-29,26.740000,26.850000,26.540001,53.509998,26.754999,15922800
2007-08-30,26.610001,26.820000,26.565001,53.400002,26.700001,13982600
2007-08-31,26.885000,26.990000,26.695000,53.779999,26.889999,15035200
2007-09-04,26.834999,27.219999,26.834999,54.369999,27.184999,12463000
2007-09-05,27.065001,27.174999,26.680000,53.689999,26.844999,18938600
2007-09-06,26.775000,27.520000,26.600000,54.660000,27.330000,19000200
2007-09-07,27.295000,27.500000,27.055000,54.590000,27.295000,23982600
2007-09-10,27.299999,27.510000,27.145000,54.570000,27.285000,20339400
2007-09-11,27.355000,27.969999,27.350000,55.660000,27.830000,23866200
2007-09-12,27.799999,28.180000,27.639999,55.840000,27.920000,18437000
2007-09-13,27.975000,28.100000,27.809999,55.869999,27.934999,14353000
2007-09-14,27.860001,28.280001,27.830000,56.400002,28.200001,15459800
2007-09-17,28.000000,28.049999,27.520000,55.279999,27.639999,21078400
2007-09-18,27.705000,28.215000,27.705000,56.410000,28.205000,19898800
2007-09-19,28.250000,28.379999,27.940001,56.619999,28.309999,17220600
2007-09-20,28.280001,28.325001,28.080000,56.310001,28.155001,12583400
2007-09-21,28.190001,28.430000,28.155001,56.549999,28.275000,21948800
2007-09-24,28.254999,28.690001,28.254999,56.700001,28.350000,20872800
2007-09-25,28.344999,28.635000,28.270000,57.020000,28.510000,15230200
2007-09-26,28.584999,28.840000,28.455000,57.349998,28.674999,14776200
2007-09-27,28.655001,28.795000,28.565001,57.330002,28.665001,14274400
2007-09-28,28.650000,28.889999,28.514999,57.470001,28.735001,13061200
2007-10-01,28.805000,29.165001,28.780001,57.900002,28.950001,19918600
2007-10-02,29.000000,29.080000,28.820000,57.919998,28.959999,17565600
2007-10-03,28.875000,29.014999,28.684999,57.570000,28.785000,12628400
2007-10-04,28.825001,29.065001,28.785000,57.869999,28.934999,11534600
2007-10-05,28.985001,29.139999,28.915001,58.070000,29.035000,10896400
2007-10-08,28.980000,29.065001,28.844999,57.799999,28.900000,6021600
2007-10-09,28.799999,28.940001,28.650000,57.880001,28.940001,16272000
2007-10-10,28.995001,29.100000,28.889999,57.869999,28.934999,13236400
2007-10-11,29.000000,29.090000,28.459999,57.189999,28.594999,12950600
2007-10-12,28.600000,28.965000,28.575001,57.799999,28.900000,10410200
2007-10-15,29.045000,29.115000,28.580000,57.639999,28.820000,13801000
2007-10-16,28.834999,29.049999,28.715000,57.759998,28.879999,14228200
2007-10-17,29.174999,29.715000,29.030001,59.090000,29.545000,32814800
