Date,Open,High,Low,Close,Adj Close,Volume
2007-01-03,35.700001,36.000000,35.279999,35.610001,35.610001,2335600
2007-01-04,35.049999,35.669998,35.000000,35.580002,35.580002,2715700
2007-01-05,35.590000,35.590000,34.840000,35.180000,35.180000,2437100
2007-01-08,35.189999,35.189999,34.840000,34.950001,34.950001,1767000
2007-01-09,34.990002,35.220001,34.849998,35.130001,35.130001,1591300
2007-01-10,35.099998,36.090000,34.900002,35.900002,35.900002,5463800
2007-01-11,35.900002,36.180000,35.450001,35.779999,35.779999,4418100
2007-01-12,35.790001,36.200001,35.700001,35.799999,35.799999,2294500
2007-01-16,35.770000,35.919998,35.520000,35.759998,35.759998,1639700
2007-01-17,35.810001,35.860001,35.220001,35.250000,35.250000,1890800
2007-01-18,35.259998,35.750000,34.930000,35.349998,35.349998,2186100
2007-01-19,35.459999,35.779999,35.240002,35.630001,35.630001,1991200
2007-01-22,35.529999,36.080002,35.480000,35.910000,35.910000,3657100
2007-01-23,35.820000,36.259998,35.169998,35.310001,35.310001,5816000
2007-01-24,35.310001,35.500000,34.990002,35.040001,35.040001,2543500
2007-01-25,35.119999,35.369999,34.709999,34.759998,34.759998,3115700
2007-01-26,34.639999,35.020000,34.330002,34.540001,34.540001,4329700
2007-01-29,34.209999,35.310001,34.000000,35.169998,35.169998,3578600
2007-01-30,35.049999,35.090000,34.419998,34.830002,34.830002,5135600
2007-01-31,34.580002,35.200001,34.130001,34.919998,34.919998,7517700
2007-02-01,34.919998,34.980000,33.750000,33.939999,33.939999,7770600
2007-02-02,34.060001,34.090000,33.700001,34.029999,34.029999,4037400
2007-02-05,34.230000,34.250000,33.520000,33.560001,33.560001,3706700
2007-02-06,33.430000,33.880001,33.220001,33.669998,33.669998,3163200
2007-02-07,33.520000,33.720001,33.430000,33.610001,33.610001,2905200
2007-02-08,33.450001,33.490002,32.849998,32.970001,32.970001,5863100
2007-02-09,33.099998,33.950001,33.049999,33.570000,33.570000,5324500
2007-02-12,33.740002,34.750000,33.610001,34.310001,34.310001,5600700
2007-02-13,34.189999,34.770000,34.020000,34.549999,34.549999,4269300
2007-02-14,34.180000,34.509998,34.110001,34.430000,34.430000,3003100
2007-02-15,34.330002,34.549999,34.080002,34.220001,34.220001,3081800
2007-02-16,34.220001,34.980000,34.169998,34.950001,34.950001,3624000
2007-02-20,34.700001,34.869999,33.450001,33.860001,33.860001,7947300
2007-02-21,33.799999,33.810001,33.209999,33.439999,33.439999,4062700
2007-02-22,33.630001,33.750000,33.259998,33.270000,33.270000,2706000
2007-02-23,33.630001,33.630001,32.939999,33.259998,33.259998,1930000
2007-02-26,33.259998,33.490002,33.119999,33.270000,33.270000,2384200
2007-02-27,33.520000,33.549999,32.000000,32.080002,32.080002,3796500
2007-02-28,32.209999,32.970001,31.350000,31.930000,31.930000,5436700
2007-03-01,31.799999,32.580002,31.590000,32.369999,32.369999,4355900
2007-03-02,32.400002,32.500000,31.770000,31.850000,31.850000,3276300
2007-03-05,31.600000,31.980000,31.180000,31.620001,31.620001,4203200
2007-03-06,31.850000,32.290001,31.620001,32.230000,32.230000,4375300
2007-03-07,32.259998,32.299999,31.209999,31.309999,31.309999,5891100
2007-03-08,31.400000,31.809999,31.250000,31.330000,31.330000,3223800
2007-03-09,31.340000,31.639999,31.219999,31.500000,31.500000,5499700
2007-03-12,31.530001,32.139999,31.450001,31.920000,31.920000,7992500
2007-03-13,31.650000,31.760000,30.809999,30.930000,30.930000,12053600
2007-03-14,30.930000,31.020000,29.950001,30.200001,30.200001,20493600
2007-03-15,30.040001,30.950001,30.000000,30.600000,30.600000,11873200
2007-03-16,30.520000,30.600000,30.360001,30.420000,30.420000,9656500
2007-03-19,30.670000,31.059999,30.250000,30.900000,30.900000,11819400
2007-03-20,31.040001,31.559999,30.850000,31.480000,31.480000,9052300
2007-03-21,31.490000,31.510000,31.209999,31.350000,31.350000,7665100
2007-03-22,31.500000,31.920000,31.309999,31.850000,31.850000,8707000
2007-03-23,32.029999,32.299999,31.750000,32.000000,32.000000,10133500
2007-03-26,32.099998,32.160000,31.799999,31.889999,31.889999,6746600
2007-03-27,31.889999,31.889999,31.530001,31.700001,31.700001,5709000
2007-03-28,31.549999,31.650000,31.150000,31.459999,31.459999,8982700
2007-03-29,31.469999,31.780001,31.299999,31.520000,31.520000,7387700
2007-03-30,31.420000,31.780001,31.090000,31.660000,31.660000,32441500
2007-04-02,31.629999,31.629999,30.280001,30.850000,30.850000,50140700
2007-04-03,30.660000,30.760000,30.280001,30.330000,30.330000,58552300
2007-04-04,30.200001,31.170000,30.180000,30.719999,30.719999,52994600
2007-04-05,30.549999,31.700001,30.530001,31.580000,31.580000,59724900
2007-04-09,31.280001,31.750000,31.059999,31.309999,31.309999,28330900
2007-04-10,31.299999,31.459999,30.740000,31.240000,31.240000,36468900
2007-04-11,31.180000,32.070000,30.900000,32.020000,32.020000,40665000
2007-04-12,32.400002,32.740002,32.290001,32.450001,32.450001,32890800
2007-04-13,32.590000,32.910000,32.360001,32.799999,32.799999,22699400
2007-04-16,33.000000,33.020000,32.630001,32.759998,32.759998,27618000
2007-04-17,32.480000,32.950001,32.290001,32.900002,32.900002,18776200
2007-04-18,33.000000,33.000000,32.160000,32.290001,32.290001,23121000
2007-04-19,32.549999,32.900002,32.200001,32.849998,32.849998,28426400
2007-04-20,33.230000,33.290001,32.939999,33.090000,33.090000,30370100
2007-04-23,32.919998,33.349998,32.840000,33.209999,33.209999,16931600
2007-04-24,33.250000,33.549999,33.240002,33.400002,33.400002,20525300
2007-04-25,33.400002,33.700001,33.320000,33.470001,33.470001,14244200
2007-04-26,33.029999,33.669998,33.029999,33.560001,33.560001,18431700
2007-04-27,33.099998,33.570000,33.099998,33.560001,33.560001,16034500
2007-04-30,33.520000,33.680000,33.419998,33.470001,33.470001,18112200
2007-05-01,33.480000,33.560001,33.299999,33.490002,33.490002,19802600
2007-05-02,33.560001,33.590000,33.220001,33.279999,33.279999,21247100
2007-05-03,33.279999,33.470001,32.810001,32.830002,32.830002,16819900
2007-05-04,33.150002,33.320000,32.759998,33.200001,33.200001,12883000
2007-05-07,33.099998,33.250000,32.930000,33.000000,33.000000,12864000
2007-05-08,32.759998,33.000000,32.410000,32.660000,32.660000,12943600
2007-05-09,32.549999,32.820000,32.509998,32.779999,32.779999,14300500
2007-05-10,32.779999,32.880001,32.459999,32.500000,32.500000,12224200
2007-05-11,32.450001,32.570000,32.290001,32.509998,32.509998,27157000
2007-05-14,32.509998,32.599998,32.439999,32.500000,32.500000,20068200
2007-05-15,32.279999,32.650002,32.250000,32.599998,32.599998,17060300
2007-05-16,32.570000,32.810001,32.490002,32.770000,32.770000,17622200
2007-05-17,32.720001,33.040001,32.669998,32.900002,32.900002,14509200
2007-05-18,33.000000,33.139999,32.880001,33.110001,33.110001,13618000
2007-05-21,32.990002,33.270000,32.900002,33.189999,33.189999,17568800
2007-05-22,33.250000,33.540001,33.189999,33.340000,33.340000,18425000
2007-05-23,33.450001,33.480000,33.250000,33.320000,33.320000,16457600
2007-05-24,33.200001,33.520000,33.099998,33.439999,33.439999,16787100
2007-05-25,33.439999,33.599998,33.369999,33.509998,33.509998,13861600
2007-05-29,33.509998,33.660000,33.369999,33.509998,33.509998,13012000
2007-05-30,33.250000,33.700001,33.240002,33.689999,33.689999,17008700
2007-05-31,33.750000,34.560001,33.680000,33.840000,33.840000,24910700
2007-06-01,34.090000,34.439999,34.000000,34.419998,34.419998,15338600
2007-06-04,34.270000,34.570000,34.099998,34.509998,34.509998,11054300
2007-06-05,34.369999,34.570000,34.180000,34.450001,34.450001,15634800
2007-06-06,34.250000,34.500000,34.160000,34.349998,34.349998,18385500
2007-06-07,34.360001,34.930000,34.110001,34.619999,34.619999,19761500
2007-06-08,34.599998,34.840000,34.259998,34.509998,34.509998,22185600
2007-06-11,34.500000,34.750000,34.369999,34.520000,34.520000,14933100
2007-06-12,34.500000,34.669998,34.330002,34.509998,34.509998,14028400
2007-06-13,34.369999,35.369999,34.369999,35.250000,35.250000,27776300
2007-06-14,35.250000,35.509998,34.709999,35.419998,35.419998,20571600
2007-06-15,35.419998,35.590000,35.200001,35.310001,35.310001,15183000
2007-06-18,35.310001,35.669998,35.040001,35.110001,35.110001,16214200
2007-06-19,34.959999,35.080002,34.560001,34.650002,34.650002,18991600
2007-06-20,34.650002,34.759998,34.290001,34.459999,34.459999,17227600
2007-06-21,34.369999,37.200001,34.250000,36.740002,36.740002,57834100
2007-06-22,36.700001,36.700001,36.099998,36.250000,36.250000,26934000
2007-06-25,36.209999,36.400002,35.540001,35.610001,35.610001,19130800
2007-06-26,35.599998,35.619999,34.820000,34.939999,34.939999,20142300
2007-06-27,34.619999,35.930000,34.610001,35.740002,35.740002,22071800
2007-06-28,35.410000,35.799999,35.299999,35.369999,35.369999,13380100
2007-06-29,35.400002,35.750000,35.070000,35.250000,35.250000,14336800
2007-07-02,35.580002,35.599998,34.919998,35.529999,35.529999,10179800
2007-07-03,35.029999,35.200001,34.500000,34.660000,34.660000,14020900
