Date,Open,High,Low,Close,Adj Close,Volume
2007-01-03,52.299999,52.970001,51.970001,52.110001,52.110001,2075600
2007-01-04,52.049999,52.099998,51.310001,51.330002,51.330002,2336700
2007-01-05,51.340000,51.919998,51.310001,51.630001,51.630001,2136900
2007-01-08,51.480000,51.480000,50.959999,51.099998,51.099998,2115500
2007-01-09,51.099998,51.680000,51.099998,51.590000,51.590000,2274300
2007-01-10,51.450001,52.020000,51.119999,52.009998,52.009998,1856700
2007-01-11,52.029999,52.340000,51.889999,52.200001,52.200001,1892000
2007-01-12,52.099998,52.230000,51.450001,51.779999,51.779999,2079800
2007-01-16,51.720001,52.119999,51.630001,51.779999,51.779999,1504900
2007-01-17,51.869999,51.919998,51.580002,51.680000,51.680000,1123100
2007-01-18,51.799999,51.959999,51.400002,51.560001,51.560001,1420300
2007-01-19,51.799999,52.580002,51.700001,52.299999,52.299999,2470600
2007-01-22,52.200001,52.290001,51.790001,51.950001,51.950001,1769100
2007-01-23,51.959999,53.220001,51.889999,53.180000,53.180000,1941800
2007-01-24,52.950001,53.049999,52.410000,52.770000,52.770000,1207900
2007-01-25,52.680000,52.900002,51.820000,51.849998,51.849998,1555100
2007-01-26,52.020000,52.119999,51.400002,51.450001,51.450001,1640500
2007-01-29,51.389999,51.540001,51.119999,51.369999,51.369999,1211700
2007-01-30,51.500000,51.790001,51.380001,51.590000,51.590000,1384900
2007-01-31,51.509998,52.049999,51.470001,51.900002,51.900002,1215200
2007-02-01,51.919998,52.820000,51.900002,52.560001,52.560001,2723400
2007-02-02,53.549999,55.000000,53.279999,54.849998,54.849998,3595100
2007-02-05,54.639999,55.439999,53.849998,54.970001,54.970001,3055900
2007-02-06,54.959999,55.320000,54.759998,55.230000,55.230000,1822700
2007-02-07,55.130001,55.630001,54.980000,55.049999,55.049999,1849100
2007-02-08,55.049999,55.189999,54.490002,54.669998,54.669998,2241400
2007-02-09,54.750000,55.060001,54.500000,54.630001,54.630001,2409300
2007-02-12,54.740002,55.090000,54.419998,54.540001,54.540001,1617900
2007-02-13,54.540001,55.259998,54.139999,55.259998,55.259998,1654700
2007-02-14,55.480000,55.480000,54.950001,54.959999,54.959999,1903800
2007-02-15,54.759998,55.439999,54.759998,55.290001,55.290001,2188600
2007-02-16,55.040001,55.389999,54.799999,55.049999,55.049999,1812900
2007-02-20,55.070000,55.630001,54.959999,55.369999,55.369999,1995200
2007-02-21,55.250000,55.490002,55.099998,55.209999,55.209999,1690500
2007-02-22,54.860001,55.400002,54.860001,55.130001,55.130001,1656600
2007-02-23,55.180000,55.279999,54.459999,54.820000,54.820000,1353300
2007-02-26,54.830002,54.869999,54.060001,54.419998,54.419998,1738200
2007-02-27,54.049999,54.250000,52.639999,53.020000,53.020000,2587900
2007-02-28,53.189999,54.020000,52.639999,53.549999,53.549999,2649400
2007-03-01,52.849998,53.919998,52.360001,53.349998,53.349998,2428100
2007-03-02,53.250000,53.549999,52.590000,52.610001,52.610001,1785800
2007-03-05,52.099998,53.240002,51.750000,52.689999,52.689999,2330700
2007-03-06,53.240002,53.410000,52.750000,53.340000,53.340000,1507900
2007-03-07,53.270000,53.270000,52.259998,52.349998,52.349998,2666100
2007-03-08,52.599998,52.980000,52.310001,52.560001,52.560001,1882600
2007-03-09,52.980000,53.049999,52.730000,52.950001,52.950001,1466700
2007-03-12,52.799999,53.230000,52.490002,53.060001,53.060001,1691800
2007-03-13,52.880001,52.919998,51.700001,51.740002,51.740002,3150000
2007-03-14,51.930000,52.500000,51.330002,52.279999,52.279999,2014800
2007-03-15,52.080002,52.660000,51.970001,52.639999,52.639999,1960700
2007-03-16,53.040001,53.250000,52.669998,53.040001,53.040001,3119700
2007-03-19,53.150002,53.570000,52.900002,53.299999,53.299999,1826500
2007-03-20,53.180000,53.270000,52.900002,53.220001,53.220001,1167900
2007-03-21,53.169998,54.049999,53.070000,54.049999,54.049999,1991700
2007-03-22,53.439999,53.490002,52.419998,52.639999,52.639999,2680800
2007-03-23,52.950001,53.119999,52.470001,52.590000,52.590000,1928900
2007-03-26,52.520000,52.889999,52.049999,52.779999,52.779999,2234900
2007-03-27,52.490002,52.880001,52.279999,52.779999,52.779999,1838100
2007-03-28,52.490002,52.650002,51.990002,52.349998,52.349998,1639300
2007-03-29,52.700001,52.860001,52.389999,52.630001,52.630001,2040500
2007-03-30,52.330002,52.880001,52.049999,52.459999,52.459999,1889000
2007-04-02,52.419998,52.740002,52.250000,52.709999,52.709999,1360800
2007-04-03,52.919998,53.380001,52.720001,53.290001,53.290001,2002600
2007-04-04,53.320000,53.860001,53.290001,53.750000,53.750000,2165200
2007-04-05,53.750000,54.090000,53.700001,54.040001,54.040001,1794400
2007-04-09,54.099998,54.630001,53.990002,54.419998,54.419998,1773200
2007-04-10,54.549999,54.610001,54.230000,54.299999,54.299999,1482200
2007-04-11,54.360001,54.400002,53.830002,54.070000,54.070000,2327500
2007-04-12,53.849998,54.330002,53.619999,54.259998,54.259998,2385800
2007-04-13,55.099998,55.099998,53.799999,54.369999,54.369999,1587300
2007-04-16,54.480000,55.160000,54.310001,54.900002,54.900002,2643400
2007-04-17,54.900002,55.169998,54.520000,54.980000,54.980000,1722100
2007-04-18,54.830002,55.299999,54.490002,55.080002,55.080002,2319400
2007-04-19,54.830002,55.209999,54.750000,55.080002,55.080002,1548400
2007-04-20,55.799999,55.799999,55.169998,55.430000,55.430000,2341900
2007-04-23,55.200001,55.740002,55.099998,55.500000,55.500000,1204400
2007-04-24,54.680000,55.490002,54.200001,54.650002,54.650002,3262400
2007-04-25,55.459999,55.689999,54.590000,55.000000,55.000000,3898300
2007-04-26,55.860001,55.880001,53.049999,53.419998,53.419998,4618200
2007-04-27,53.230000,54.160000,53.230000,54.080002,54.080002,3664000
2007-04-30,54.049999,54.049999,53.439999,53.540001,53.540001,2726000
2007-05-01,54.400002,54.400002,53.020000,53.279999,53.279999,2893500
2007-05-02,53.279999,53.669998,53.130001,53.230000,53.230000,2363300
2007-05-03,54.220001,54.740002,53.400002,54.020000,54.020000,2791200
2007-05-04,54.110001,54.720001,53.900002,54.000000,54.000000,1881700
2007-05-07,54.299999,54.810001,54.240002,54.770000,54.770000,2048100
2007-05-08,54.259998,54.660000,54.130001,54.419998,54.419998,2471300
2007-05-09,54.500000,54.980000,54.279999,54.910000,54.910000,1967200
2007-05-10,54.799999,54.810001,54.000000,54.049999,54.049999,3404800
2007-05-11,54.000000,54.330002,53.799999,54.220001,54.220001,2559300
2007-05-14,54.060001,54.320000,53.730000,53.830002,53.830002,2053500
2007-05-15,54.049999,54.450001,53.830002,54.009998,54.009998,3079900
2007-05-16,54.299999,54.340000,54.099998,54.320000,54.320000,2635800
2007-05-17,54.369999,54.750000,54.250000,54.509998,54.509998,2241400
2007-05-18,54.590000,54.860001,54.290001,54.549999,54.549999,2173900
2007-05-21,54.279999,54.570000,54.189999,54.299999,54.299999,2107300
2007-05-22,54.950001,55.000000,54.310001,54.320000,54.320000,2757600
2007-05-23,54.320000,54.610001,54.169998,54.380001,54.380001,2731700
2007-05-24,54.250000,55.090000,54.020000,54.430000,54.430000,3446600
2007-05-25,54.279999,54.599998,54.049999,54.230000,54.230000,2107300
2007-05-29,54.180000,54.680000,54.099998,54.590000,54.590000,1985000
2007-05-30,54.549999,54.959999,54.419998,54.959999,54.959999,2841900
2007-05-31,54.889999,55.650002,54.799999,55.599998,55.599998,2327500
2007-06-01,55.709999,56.250000,55.660000,56.169998,56.169998,3205800
2007-06-04,55.950001,56.750000,55.889999,56.599998,56.599998,2625200
2007-06-05,56.400002,56.450001,55.939999,56.000000,56.000000,2981600
2007-06-06,56.369999,57.040001,56.250000,56.910000,56.910000,3915400
2007-06-07,56.660000,56.939999,56.000000,56.049999,56.049999,2659500
2007-06-08,56.000000,56.730000,55.259998,56.639999,56.639999,2832700
2007-06-11,56.639999,56.639999,55.820000,55.869999,55.869999,3157800
2007-06-12,55.549999,56.310001,55.520000,55.820000,55.820000,2035300
2007-06-13,55.820000,56.180000,55.279999,56.180000,56.180000,2205500
2007-06-14,55.930000,56.450001,55.750000,56.410000,56.410000,2098500
2007-06-15,56.639999,56.860001,56.250000,56.540001,56.540001,2384400
2007-06-18,56.529999,56.580002,55.700001,55.740002,55.740002,2072300
2007-06-19,55.529999,56.470001,55.529999,56.099998,56.099998,1536400
2007-06-20,56.330002,56.630001,55.610001,55.619999,55.619999,1383400
2007-06-21,55.450001,56.009998,55.080002,55.740002,55.740002,2006700
2007-06-22,55.639999,55.639999,54.380001,54.500000,54.500000,2548900
2007-06-25,54.500000,54.830002,53.830002,54.180000,54.180000,2345100
2007-06-26,54.320000,54.689999,53.980000,54.029999,54.029999,3907300
2007-06-27,53.599998,54.119999,53.520000,54.080002,54.080002,2080800
2007-06-28,53.880001,53.910000,53.459999,53.750000,53.750000,2362900
2007-06-29,53.580002,54.290001,53.549999,53.889999,53.889999,2637600
2007-07-02,54.230000,54.520000,54.060001,54.230000,54.230000,1808000
2007-07-03,54.450001,54.540001,54.070000,54.200001,54.200001,1126700
2007-07-05,54.369999,54.779999,54.209999,54.720001,54.720001,1490200
2007-07-06,54.770000,54.790001,54.310001,54.439999,54.439999,2018400
2007-07-09,54.360001,54.750000,54.270000,54.439999,54.439999,2074000
2007-07-10,53.970001,54.130001,52.939999,52.980000,52.980000,2677700
2007-07-11,52.830002,53.049999,52.279999,52.759998,52.759998,2905200
2007-07-12,53.450001,53.709999,52.759998,53.660000,53.660000,4098300
2007-07-13,53.490002,54.090000,53.490002,53.799999,53.799999,3033600
2007-07-16,53.959999,54.200001,53.700001,53.919998,53.919998,1904600
2007-07-17,53.750000,54.630001,53.700001,54.349998,54.349998,2456300
2007-07-18,54.310001,54.700001,53.910000,54.279999,54.279999,2449600
2007-07-19,54.599998,55.360001,54.509998,54.990002,54.990002,2785400
2007-07-20,54.910000,54.950001,54.240002,54.299999,54.299999,2330400
2007-07-23,54.560001,55.310001,54.400002,54.980000,54.980000,1610200
2007-07-24,54.709999,55.490002,54.560001,54.599998,54.599998,2300900
2007-07-25,55.009998,55.349998,54.639999,55.150002,55.150002,3071700
2007-07-26,55.889999,56.160000,54.470001,54.900002,54.900002,5379500
2007-07-27,55.459999,55.680000,54.700001,54.930000,54.930000,4248100
2007-07-30,55.160000,56.250000,55.000000,56.130001,56.130001,3936900
2007-07-31,56.169998,56.250000,55.310001,55.360001,55.360001,4743500
2007-08-01,56.029999,57.549999,56.029999,57.549999,57.549999,6483500
2007-08-02,58.450001,58.799999,57.810001,58.750000,58.750000,4712000
2007-08-03,58.520000,59.680000,58.450001,58.959999,58.959999,4743600
2007-08-06,59.070000,59.889999,58.939999,59.889999,59.889999,4026300
